Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-07
Record Length,6250
Zero Index,680.25000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.08840000e-04,-1.71093750e-03
-1.08680000e-04,-1.69531250e-03
-1.08520000e-04,-2.52656250e-03
-1.08360000e-04,-2.56875000e-03
-1.08200000e-04,-1.64062500e-03
-1.08040000e-04,-1.62968750e-03
-1.07880000e-04,-2.02031250e-03
-1.07720000e-04,-2.11875000e-03
-1.07560000e-04,-1.80781250e-03
-1.07400000e-04,-2.05468750e-03
-1.07240000e-04,-2.29843750e-03
-1.07080000e-04,-1.99218750e-03
-1.06920000e-04,-1.46875000e-03
-1.06760000e-04,-2.32656250e-03
-1.06600000e-04,-1.99062500e-03
-1.06440000e-04,-1.78437500e-03
-1.06280000e-04,-2.06562500e-03
-1.06120000e-04,-1.91093750e-03
-1.05960000e-04,-1.92500000e-03
-1.05800000e-04,-2.21093750e-03
-1.05640000e-04,-2.27031250e-03
-1.05480000e-04,-1.70312500e-03
-1.05320000e-04,-1.80312500e-03
-1.05160000e-04,-1.42500000e-03
-1.05000000e-04,-1.99687500e-03
-1.04840000e-04,-2.62343750e-03
-1.04680000e-04,-2.01406250e-03
-1.04520000e-04,-1.63593750e-03
-1.04360000e-04,-1.63125000e-03
-1.04200000e-04,-1.81562500e-03
-1.04040000e-04,-2.03125000e-03
-1.03880000e-04,-1.65781250e-03
-1.03720000e-04,-1.97031250e-03
-1.03560000e-04,-2.39843750e-03
-1.03400000e-04,-1.55937500e-03
-1.03240000e-04,-1.85312500e-03
-1.03080000e-04,-2.45468750e-03
-1.02920000e-04,-1.57656250e-03
-1.02760000e-04,-1.80625000e-03
-1.02600000e-04,-2.02343750e-03
-1.02440000e-04,-1.55000000e-03
-1.02280000e-04,-1.89062500e-03
-1.02120000e-04,-2.25625000e-03
-1.01960000e-04,-1.85468750e-03
-1.01800000e-04,-1.84375000e-03
-1.01640000e-04,-1.63750000e-03
-1.01480000e-04,-1.33593750e-03
-1.01320000e-04,-2.47656250e-03
-1.01160000e-04,-2.39687500e-03
-1.01000000e-04,-1.63906250e-03
-1.00840000e-04,-1.59062500e-03
-1.00680000e-04,-1.96875000e-03
-1.00520000e-04,-2.05625000e-03
-1.00360000e-04,-1.55468750e-03
-1.00200000e-04,-1.77031250e-03
-1.00040000e-04,-2.49375000e-03
-9.98800000e-05,-1.67187500e-03
-9.97200000e-05,-1.40625000e-03
-9.95600000e-05,-2.46718750e-03
-9.94000000e-05,-1.81406250e-03
-9.92400000e-05,-1.41718750e-03
-9.90800000e-05,-1.99062500e-03
-9.89200000e-05,-1.85625000e-03
-9.87600000e-05,-1.78750000e-03
-9.86000000e-05,-1.98125000e-03
-9.84400000e-05,-2.07343750e-03
-9.82800000e-05,-1.61718750e-03
-9.81200000e-05,-1.47812500e-03
-9.79600000e-05,-1.45937500e-03
-9.78000000e-05,-2.00000000e-03
-9.76400000e-05,-2.32812500e-03
-9.74800000e-05,-1.80000000e-03
-9.73200000e-05,-1.59687500e-03
-9.71600000e-05,-1.28750000e-03
-9.70000000e-05,-1.60625000e-03
-9.68400000e-05,-1.87968750e-03
-9.66800000e-05,-1.69843750e-03
-9.65200000e-05,-1.72343750e-03
-9.63600000e-05,-2.12031250e-03
-9.62000000e-05,-1.37500000e-03
-9.60400000e-05,-1.52812500e-03
-9.58800000e-05,-2.07812500e-03
-9.57200000e-05,-1.67031250e-03
-9.55600000e-05,-1.61718750e-03
-9.54000000e-05,-1.47656250e-03
-9.52400000e-05,-1.45000000e-03
-9.50800000e-05,-1.75312500e-03
-9.49200000e-05,-1.87031250e-03
-9.47600000e-05,-1.58906250e-03
-9.46000000e-05,-1.71093750e-03
-9.44400000e-05,-1.34531250e-03
-9.42800000e-05,-9.95312500e-04
-9.41200000e-05,-2.20937500e-03
-9.39600000e-05,-2.23593750e-03
-9.38000000e-05,-1.22500000e-03
-9.36400000e-05,-1.30468750e-03
-9.34800000e-05,-1.82187500e-03
-9.33200000e-05,-1.68593750e-03
-9.31600000e-05,-1.17187500e-03
-9.30000000e-05,-1.52656250e-03
-9.28400000e-05,-2.10937500e-03
-9.26800000e-05,-1.34843750e-03
-9.25200000e-05,-1.20781250e-03
-9.23600000e-05,-2.03281250e-03
-9.22000000e-05,-1.41406250e-03
-9.20400000e-05,-1.02031250e-03
-9.18800000e-05,-1.80312500e-03
-9.17200000e-05,-1.37500000e-03
-9.15600000e-05,-1.37656250e-03
-9.14000000e-05,-1.76250000e-03
-9.12400000e-05,-1.82187500e-03
-9.10800000e-05,-1.25156250e-03
-9.09200000e-05,-1.35156250e-03
-9.07600000e-05,-1.01562500e-03
-9.06000000e-05,-1.68125000e-03
-9.04400000e-05,-2.00625000e-03
-9.02800000e-05,-1.50781250e-03
-9.01200000e-05,-1.11718750e-03
-8.99600000e-05,-1.00156250e-03
-8.98000000e-05,-1.45781250e-03
-8.96400000e-05,-1.71718750e-03
-8.94800000e-05,-1.14687500e-03
-8.93200000e-05,-1.29218750e-03
-8.91600000e-05,-1.81718750e-03
-8.90000000e-05,-8.50000000e-04
-8.88400000e-05,-1.36718750e-03
-8.86800000e-05,-1.72343750e-03
