Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-07
Record Length,6250
Zero Index,680.25000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.08840000e-04,-9.31250000e-04
-1.08680000e-04,-1.53750000e-03
-1.08520000e-04,-1.86718750e-03
-1.08360000e-04,-1.71406250e-03
-1.08200000e-04,-1.44687500e-03
-1.08040000e-04,-1.71406250e-03
-1.07880000e-04,-2.36875000e-03
-1.07720000e-04,-1.79218750e-03
-1.07560000e-04,-6.92187500e-04
-1.07400000e-04,-2.01875000e-03
-1.07240000e-04,-2.07187500e-03
-1.07080000e-04,-1.14062500e-03
-1.06920000e-04,-2.14218750e-03
-1.06760000e-04,-1.87031250e-03
-1.06600000e-04,-1.11718750e-03
-1.06440000e-04,-1.98125000e-03
-1.06280000e-04,-1.53125000e-03
-1.06120000e-04,-1.01250000e-03
-1.05960000e-04,-2.43906250e-03
-1.05800000e-04,-1.45937500e-03
-1.05640000e-04,-1.43437500e-03
-1.05480000e-04,-2.13125000e-03
-1.05320000e-04,-1.05156250e-03
-1.05160000e-04,-1.23750000e-03
-1.05000000e-04,-2.07968750e-03
-1.04840000e-04,-1.36406250e-03
-1.04680000e-04,-1.48437500e-03
-1.04520000e-04,-1.79843750e-03
-1.04360000e-04,-1.84531250e-03
-1.04200000e-04,-2.08281250e-03
-1.04040000e-04,-1.52656250e-03
-1.03880000e-04,-1.22187500e-03
-1.03720000e-04,-1.86718750e-03
-1.03560000e-04,-1.56562500e-03
-1.03400000e-04,-1.82031250e-03
-1.03240000e-04,-2.05781250e-03
-1.03080000e-04,-1.15156250e-03
-1.02920000e-04,-1.71718750e-03
-1.02760000e-04,-1.97500000e-03
-1.02600000e-04,-6.50000000e-04
-1.02440000e-04,-1.49843750e-03
-1.02280000e-04,-2.28750000e-03
-1.02120000e-04,-1.29062500e-03
-1.01960000e-04,-1.79062500e-03
-1.01800000e-04,-1.61875000e-03
-1.01640000e-04,-9.40625000e-04
-1.01480000e-04,-1.52812500e-03
-1.01320000e-04,-1.76406250e-03
-1.01160000e-04,-1.72031250e-03
-1.01000000e-04,-1.38750000e-03
-1.00840000e-04,-1.48593750e-03
-1.00680000e-04,-2.14843750e-03
-1.00520000e-04,-1.74843750e-03
-1.00360000e-04,-7.89062500e-04
-1.00200000e-04,-1.79687500e-03
-1.00040000e-04,-1.73593750e-03
-9.98800000e-05,-1.16562500e-03
-9.97200000e-05,-1.80156250e-03
-9.95600000e-05,-1.80937500e-03
-9.94000000e-05,-1.00937500e-03
-9.92400000e-05,-1.45781250e-03
-9.90800000e-05,-1.33281250e-03
-9.89200000e-05,-8.31250000e-04
-9.87600000e-05,-2.25625000e-03
-9.86000000e-05,-1.60625000e-03
-9.84400000e-05,-1.34218750e-03
-9.82800000e-05,-2.00312500e-03
-9.81200000e-05,-1.25937500e-03
-9.79600000e-05,-9.28125000e-04
-9.78000000e-05,-1.45312500e-03
-9.76400000e-05,-1.70781250e-03
-9.74800000e-05,-1.47500000e-03
-9.73200000e-05,-1.27187500e-03
-9.71600000e-05,-1.61093750e-03
-9.70000000e-05,-2.20625000e-03
-9.68400000e-05,-9.54687500e-04
-9.66800000e-05,-7.54687500e-04
-9.65200000e-05,-1.86718750e-03
-9.63600000e-05,-1.47500000e-03
-9.62000000e-05,-1.26875000e-03
-9.60400000e-05,-2.05156250e-03
-9.58800000e-05,-1.03281250e-03
-9.57200000e-05,-1.43437500e-03
-9.55600000e-05,-1.77031250e-03
-9.54000000e-05,-5.18750000e-04
-9.52400000e-05,-1.42968750e-03
-9.50800000e-05,-2.03281250e-03
-9.49200000e-05,-1.04375000e-03
-9.47600000e-05,-1.64218750e-03
-9.46000000e-05,-1.65156250e-03
-9.44400000e-05,-6.50000000e-04
-9.42800000e-05,-1.65156250e-03
-9.41200000e-05,-1.48750000e-03
-9.39600000e-05,-1.04531250e-03
-9.38000000e-05,-1.30156250e-03
-9.36400000e-05,-1.60468750e-03
-9.34800000e-05,-1.72500000e-03
-9.33200000e-05,-1.49843750e-03
-9.31600000e-05,-6.64062500e-04
-9.30000000e-05,-1.74218750e-03
-9.28400000e-05,-1.35937500e-03
-9.26800000e-05,-7.73437500e-04
-9.25200000e-05,-1.88906250e-03
-9.23600000e-05,-1.57187500e-03
-9.22000000e-05,-7.84375000e-04
-9.20400000e-05,-1.65468750e-03
-9.18800000e-05,-1.28593750e-03
-9.17200000e-05,-4.46875000e-04
-9.15600000e-05,-2.09687500e-03
-9.14000000e-05,-1.47656250e-03
-9.12400000e-05,-1.12187500e-03
-9.10800000e-05,-1.79218750e-03
-9.09200000e-05,-8.60937500e-04
-9.07600000e-05,-1.05468750e-03
-9.06000000e-05,-1.41250000e-03
-9.04400000e-05,-1.30156250e-03
-9.02800000e-05,-1.37343750e-03
-9.01200000e-05,-1.15937500e-03
-8.99600000e-05,-1.34843750e-03
-8.98000000e-05,-2.03125000e-03
-8.96400000e-05,-8.48437500e-04
-8.94800000e-05,-8.28125000e-04
-8.93200000e-05,-1.61718750e-03
-8.91600000e-05,-1.27656250e-03
-8.90000000e-05,-1.30000000e-03
-8.88400000e-05,-1.85937500e-03
-8.86800000e-05,-8.76562500e-04
