Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-07
Record Length,6250
Zero Index,680.25000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.08840000e-04,-2.33750000e-03
-1.08680000e-04,-2.55781250e-03
-1.08520000e-04,-2.02031250e-03
-1.08360000e-04,-1.54375000e-03
-1.08200000e-04,-1.87031250e-03
-1.08040000e-04,-2.25625000e-03
-1.07880000e-04,-1.78437500e-03
-1.07720000e-04,-1.28593750e-03
-1.07560000e-04,-2.23281250e-03
-1.07400000e-04,-2.47656250e-03
-1.07240000e-04,-1.61718750e-03
-1.07080000e-04,-2.12031250e-03
-1.06920000e-04,-1.84062500e-03
-1.06760000e-04,-1.68750000e-03
-1.06600000e-04,-2.34062500e-03
-1.06440000e-04,-1.97031250e-03
-1.06280000e-04,-1.80625000e-03
-1.06120000e-04,-1.86093750e-03
-1.05960000e-04,-1.83750000e-03
-1.05800000e-04,-2.20937500e-03
-1.05640000e-04,-2.33125000e-03
-1.05480000e-04,-1.29531250e-03
-1.05320000e-04,-2.00468750e-03
-1.05160000e-04,-2.66875000e-03
-1.05000000e-04,-2.02500000e-03
-1.04840000e-04,-1.74687500e-03
-1.04680000e-04,-2.03281250e-03
-1.04520000e-04,-1.83750000e-03
-1.04360000e-04,-2.07656250e-03
-1.04200000e-04,-1.71875000e-03
-1.04040000e-04,-1.72656250e-03
-1.03880000e-04,-2.82656250e-03
-1.03720000e-04,-1.89375000e-03
-1.03560000e-04,-1.85156250e-03
-1.03400000e-04,-2.00000000e-03
-1.03240000e-04,-1.81562500e-03
-1.03080000e-04,-1.90468750e-03
-1.02920000e-04,-2.16562500e-03
-1.02760000e-04,-1.92500000e-03
-1.02600000e-04,-2.03125000e-03
-1.02440000e-04,-1.77031250e-03
-1.02280000e-04,-1.84843750e-03
-1.02120000e-04,-2.51875000e-03
-1.01960000e-04,-1.91250000e-03
-1.01800000e-04,-1.10156250e-03
-1.01640000e-04,-2.72031250e-03
-1.01480000e-04,-2.47187500e-03
-1.01320000e-04,-1.75625000e-03
-1.01160000e-04,-1.65156250e-03
-1.01000000e-04,-2.11406250e-03
-1.00840000e-04,-2.04218750e-03
-1.00680000e-04,-1.55937500e-03
-1.00520000e-04,-1.66406250e-03
-1.00360000e-04,-2.45312500e-03
-1.00200000e-04,-2.05468750e-03
-1.00040000e-04,-1.65000000e-03
-9.98800000e-05,-2.16875000e-03
-9.97200000e-05,-1.90000000e-03
-9.95600000e-05,-1.32500000e-03
-9.94000000e-05,-2.10156250e-03
-9.92400000e-05,-2.02187500e-03
-9.90800000e-05,-1.69218750e-03
-9.89200000e-05,-1.66250000e-03
-9.87600000e-05,-1.83125000e-03
-9.86000000e-05,-1.97031250e-03
-9.84400000e-05,-1.91875000e-03
-9.82800000e-05,-1.29375000e-03
-9.81200000e-05,-1.84531250e-03
-9.79600000e-05,-2.26718750e-03
-9.78000000e-05,-1.94687500e-03
-9.76400000e-05,-1.84843750e-03
-9.74800000e-05,-1.48437500e-03
-9.73200000e-05,-1.88750000e-03
-9.71600000e-05,-2.08593750e-03
-9.70000000e-05,-1.22031250e-03
-9.68400000e-05,-1.58750000e-03
-9.66800000e-05,-2.63750000e-03
-9.65200000e-05,-1.65625000e-03
-9.63600000e-05,-1.32968750e-03
-9.62000000e-05,-1.83593750e-03
-9.60400000e-05,-1.42500000e-03
-9.58800000e-05,-1.80937500e-03
-9.57200000e-05,-1.92656250e-03
-9.55600000e-05,-1.42343750e-03
-9.54000000e-05,-1.73593750e-03
-9.52400000e-05,-1.37343750e-03
-9.50800000e-05,-1.33750000e-03
-9.49200000e-05,-2.22187500e-03
-9.47600000e-05,-1.53593750e-03
-9.46000000e-05,-8.68750000e-04
-9.44400000e-05,-2.24687500e-03
-9.42800000e-05,-2.08906250e-03
-9.41200000e-05,-1.49375000e-03
-9.39600000e-05,-1.17656250e-03
-9.38000000e-05,-1.71250000e-03
-9.36400000e-05,-1.55312500e-03
-9.34800000e-05,-1.38125000e-03
-9.33200000e-05,-1.17343750e-03
-9.31600000e-05,-1.78593750e-03
-9.30000000e-05,-1.93281250e-03
-9.28400000e-05,-1.40937500e-03
-9.26800000e-05,-1.62031250e-03
-9.25200000e-05,-1.37968750e-03
-9.23600000e-05,-1.00156250e-03
-9.22000000e-05,-1.70000000e-03
-9.20400000e-05,-1.69375000e-03
-9.18800000e-05,-1.41093750e-03
-9.17200000e-05,-1.16718750e-03
-9.15600000e-05,-1.48281250e-03
-9.14000000e-05,-1.75156250e-03
-9.12400000e-05,-1.68750000e-03
-9.10800000e-05,-9.73437500e-04
-9.09200000e-05,-1.38125000e-03
-9.07600000e-05,-2.00625000e-03
-9.06000000e-05,-1.44062500e-03
-9.04400000e-05,-1.19687500e-03
-9.02800000e-05,-1.60468750e-03
-9.01200000e-05,-1.37187500e-03
-8.99600000e-05,-1.51093750e-03
-8.98000000e-05,-1.09062500e-03
-8.96400000e-05,-1.30937500e-03
-8.94800000e-05,-2.07187500e-03
-8.93200000e-05,-1.20781250e-03
-8.91600000e-05,-1.15781250e-03
-8.90000000e-05,-1.49218750e-03
-8.88400000e-05,-9.70312500e-04
-8.86800000e-05,-1.20468750e-03
