Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-07
Record Length,6250
Zero Index,680.25000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-1.08840000e-04,-7.68750000e-04
-1.08680000e-04,-6.31250000e-04
-1.08520000e-04,-1.15312500e-03
-1.08360000e-04,-1.50468750e-03
-1.08200000e-04,-4.84375000e-04
-1.08040000e-04,-9.81250000e-04
-1.07880000e-04,-1.07343750e-03
-1.07720000e-04,-1.08906250e-03
-1.07560000e-04,-1.44687500e-03
-1.07400000e-04,-8.42187500e-04
-1.07240000e-04,-7.09375000e-04
-1.07080000e-04,-1.32031250e-03
-1.06920000e-04,-1.36718750e-03
-1.06760000e-04,-4.65625000e-04
-1.06600000e-04,-1.14843750e-03
-1.06440000e-04,-1.21718750e-03
-1.06280000e-04,-8.95312500e-04
-1.06120000e-04,-1.05468750e-03
-1.05960000e-04,-1.11406250e-03
-1.05800000e-04,-1.28906250e-03
-1.05640000e-04,-8.00000000e-04
-1.05480000e-04,-8.79687500e-04
-1.05320000e-04,-1.20625000e-03
-1.05160000e-04,-1.00781250e-03
-1.05000000e-04,-6.43750000e-04
-1.04840000e-04,-1.30000000e-03
-1.04680000e-04,-1.26718750e-03
-1.04520000e-04,-3.81250000e-04
-1.04360000e-04,-1.15000000e-03
-1.04200000e-04,-1.15000000e-03
-1.04040000e-04,-9.57812500e-04
-1.03880000e-04,-1.24687500e-03
-1.03720000e-04,-7.92187500e-04
-1.03560000e-04,-1.05156250e-03
-1.03400000e-04,-9.98437500e-04
-1.03240000e-04,-9.23437500e-04
-1.03080000e-04,-7.37500000e-04
-1.02920000e-04,-1.35312500e-03
-1.02760000e-04,-7.51562500e-04
-1.02600000e-04,-8.51562500e-04
-1.02440000e-04,-1.25000000e-03
-1.02280000e-04,-1.05625000e-03
-1.02120000e-04,-8.32812500e-04
-1.01960000e-04,-9.20312500e-04
-1.01800000e-04,-1.39843750e-03
-1.01640000e-04,-6.37500000e-04
-1.01480000e-04,-5.09375000e-04
-1.01320000e-04,-1.15625000e-03
-1.01160000e-04,-1.44531250e-03
-1.01000000e-04,-4.15625000e-04
-1.00840000e-04,-9.56250000e-04
-1.00680000e-04,-1.19531250e-03
-1.00520000e-04,-8.07812500e-04
-1.00360000e-04,-1.25156250e-03
-1.00200000e-04,-9.48437500e-04
-1.00040000e-04,-8.75000000e-04
-9.98800000e-05,-1.10156250e-03
-9.97200000e-05,-1.04375000e-03
-9.95600000e-05,-5.51562500e-04
-9.94000000e-05,-1.08906250e-03
-9.92400000e-05,-9.00000000e-04
-9.90800000e-05,-8.65625000e-04
-9.89200000e-05,-8.87500000e-04
-9.87600000e-05,-1.06875000e-03
-9.86000000e-05,-1.10468750e-03
-9.84400000e-05,-6.42187500e-04
-9.82800000e-05,-8.20312500e-04
-9.81200000e-05,-1.03593750e-03
-9.79600000e-05,-8.14062500e-04
-9.78000000e-05,-7.68750000e-04
-9.76400000e-05,-1.34375000e-03
-9.74800000e-05,-6.87500000e-04
-9.73200000e-05,-5.34375000e-04
-9.71600000e-05,-1.15312500e-03
-9.70000000e-05,-7.12500000e-04
-9.68400000e-05,-1.02031250e-03
-9.66800000e-05,-1.20312500e-03
-9.65200000e-05,-4.29687500e-04
-9.63600000e-05,-8.71875000e-04
-9.62000000e-05,-1.13281250e-03
-9.60400000e-05,-7.51562500e-04
-9.58800000e-05,-5.84375000e-04
-9.57200000e-05,-1.06250000e-03
-9.55600000e-05,-8.85937500e-04
-9.54000000e-05,-7.25000000e-04
-9.52400000e-05,-1.00000000e-03
-9.50800000e-05,-1.11406250e-03
-9.49200000e-05,-8.85937500e-04
-9.47600000e-05,-6.92187500e-04
-9.46000000e-05,-1.06718750e-03
-9.44400000e-05,-8.73437500e-04
-9.42800000e-05,-3.56250000e-04
-9.41200000e-05,-9.70312500e-04
-9.39600000e-05,-1.57187500e-03
-9.38000000e-05,-3.35937500e-04
-9.36400000e-05,-5.67187500e-04
-9.34800000e-05,-1.56875000e-03
-9.33200000e-05,-5.45312500e-04
-9.31600000e-05,-8.10937500e-04
-9.30000000e-05,-9.20312500e-04
-9.28400000e-05,-8.53125000e-04
-9.26800000e-05,-7.84375000e-04
-9.25200000e-05,-9.50000000e-04
-9.23600000e-05,-6.50000000e-04
-9.22000000e-05,-1.07343750e-03
-9.20400000e-05,-9.03125000e-04
-9.18800000e-05,-4.76562500e-04
-9.17200000e-05,-9.40625000e-04
-9.15600000e-05,-8.93750000e-04
-9.14000000e-05,-9.65625000e-04
-9.12400000e-05,-4.37500000e-04
-9.10800000e-05,-9.46875000e-04
-9.09200000e-05,-7.28125000e-04
-9.07600000e-05,-6.10937500e-04
-9.06000000e-05,-6.75000000e-04
-9.04400000e-05,-1.20468750e-03
-9.02800000e-05,-7.20312500e-04
-9.01200000e-05,-3.68750000e-04
-8.99600000e-05,-8.82812500e-04
-8.98000000e-05,-8.62500000e-04
-8.96400000e-05,-1.04062500e-03
-8.94800000e-05,-8.50000000e-04
-8.93200000e-05,-3.87500000e-04
-8.91600000e-05,-9.70312500e-04
-8.90000000e-05,-9.31250000e-04
-8.88400000e-05,-5.21875000e-04
-8.86800000e-05,-3.76562500e-04
