Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-08
Record Length,5000
Zero Index,544.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-4.35200000e-05,8.82812500e-04
-4.34400000e-05,5.93750000e-04
-4.33600000e-05,1.92187500e-04
-4.32800000e-05,2.65625000e-05
-4.32000000e-05,5.43750000e-04
-4.31200000e-05,1.01093750e-03
-4.30400000e-05,1.00312500e-03
-4.29600000e-05,5.93750000e-04
-4.28800000e-05,1.28125000e-04
-4.28000000e-05,5.31250000e-05
-4.27200000e-05,4.65625000e-04
-4.26400000e-05,9.57812500e-04
-4.25600000e-05,1.27343750e-03
-4.24800000e-05,9.98437500e-04
-4.24000000e-05,5.73437500e-04
-4.23200000e-05,1.39062500e-04
-4.22400000e-05,5.00000000e-05
-4.21600000e-05,2.45312500e-04
-4.20800000e-05,8.18750000e-04
-4.20000000e-05,1.02968750e-03
-4.19200000e-05,9.28125000e-04
-4.18400000e-05,6.78125000e-04
-4.17600000e-05,3.65625000e-04
-4.16800000e-05,3.17187500e-04
-4.16000000e-05,4.95312500e-04
-4.15200000e-05,4.96875000e-04
-4.14400000e-05,6.32812500e-04
-4.13600000e-05,8.62500000e-04
-4.12800000e-05,8.62500000e-04
-4.12000000e-05,7.09375000e-04
-4.11200000e-05,3.32812500e-04
-4.10400000e-05,2.17187500e-04
-4.09600000e-05,6.29687500e-04
-4.08800000e-05,8.70312500e-04
-4.08000000e-05,7.12500000e-04
-4.07200000e-05,2.35937500e-04
-4.06400000e-05,5.62500000e-05
-4.05600000e-05,4.32812500e-04
-4.04800000e-05,9.45312500e-04
-4.04000000e-05,1.01875000e-03
-4.03200000e-05,9.75000000e-04
-4.02400000e-05,6.81250000e-04
-4.01600000e-05,1.46875000e-04
-4.00800000e-05,2.95312500e-04
-4.00000000e-05,7.06250000e-04
-3.99200000e-05,1.00156250e-03
-3.98400000e-05,7.64062500e-04
-3.97600000e-05,1.71875000e-05
-3.96800000e-05,-3.12500000e-06
-3.96000000e-05,5.95312500e-04
-3.95200000e-05,9.68750000e-04
-3.94400000e-05,1.08750000e-03
-3.93600000e-05,7.18750000e-04
-3.92800000e-05,1.15625000e-04
-3.92000000e-05,1.46875000e-04
-3.91200000e-05,3.93750000e-04
-3.90400000e-05,1.00468750e-03
-3.89600000e-05,1.22187500e-03
-3.88800000e-05,7.96875000e-04
-3.88000000e-05,2.29687500e-04
-3.87200000e-05,9.53125000e-05
-3.86400000e-05,2.00000000e-04
-3.85600000e-05,5.37500000e-04
-3.84800000e-05,8.79687500e-04
-3.84000000e-05,8.90625000e-04
-3.83200000e-05,5.73437500e-04
-3.82400000e-05,7.21875000e-04
-3.81600000e-05,5.93750000e-04
-3.80800000e-05,5.51562500e-04
-3.80000000e-05,4.71875000e-04
-3.79200000e-05,4.07812500e-04
-3.78400000e-05,5.57812500e-04
-3.77600000e-05,8.07812500e-04
-3.76800000e-05,6.84375000e-04
-3.76000000e-05,4.25000000e-04
-3.75200000e-05,3.53125000e-04
-3.74400000e-05,4.62500000e-04
-3.73600000e-05,6.43750000e-04
-3.72800000e-05,8.20312500e-04
-3.72000000e-05,8.29687500e-04
-3.71200000e-05,4.84375000e-04
-3.70400000e-05,1.29687500e-04
-3.69600000e-05,1.73437500e-04
-3.68800000e-05,5.56250000e-04
-3.68000000e-05,1.05312500e-03
-3.67200000e-05,1.20312500e-03
-3.66400000e-05,8.37500000e-04
-3.65600000e-05,3.31250000e-04
-3.64800000e-05,3.37500000e-04
-3.64000000e-05,5.82812500e-04
-3.63200000e-05,6.98437500e-04
-3.62400000e-05,5.35937500e-04
-3.61600000e-05,2.93750000e-04
-3.60800000e-05,3.15625000e-04
-3.60000000e-05,6.70312500e-04
-3.59200000e-05,8.42187500e-04
-3.58400000e-05,8.10937500e-04
-3.57600000e-05,4.96875000e-04
-3.56800000e-05,1.64062500e-04
-3.56000000e-05,4.68750000e-05
-3.55200000e-05,5.45312500e-04
-3.54400000e-05,1.01250000e-03
-3.53600000e-05,1.06875000e-03
-3.52800000e-05,6.84375000e-04
-3.52000000e-05,4.32812500e-04
-3.51200000e-05,3.23437500e-04
-3.50400000e-05,2.32812500e-04
-3.49600000e-05,4.68750000e-04
-3.48800000e-05,8.26562500e-04
-3.48000000e-05,9.67187500e-04
-3.47200000e-05,6.93750000e-04
-3.46400000e-05,5.28125000e-04
-3.45600000e-05,3.92187500e-04
-3.44800000e-05,5.35937500e-04
-3.44000000e-05,4.43750000e-04
-3.43200000e-05,5.96875000e-04
-3.42400000e-05,7.35937500e-04
-3.41600000e-05,6.50000000e-04
-3.40800000e-05,5.46875000e-04
-3.40000000e-05,4.64062500e-04
-3.39200000e-05,3.98437500e-04
-3.38400000e-05,4.78125000e-04
-3.37600000e-05,5.78125000e-04
-3.36800000e-05,7.04687500e-04
-3.36000000e-05,4.78125000e-04
-3.35200000e-05,2.40625000e-04
-3.34400000e-05,2.50000000e-04
-3.33600000e-05,5.92187500e-04
-3.32800000e-05,8.64062500e-04
-3.32000000e-05,8.68750000e-04
-3.31200000e-05,9.07812500e-04
-3.30400000e-05,6.54687500e-04
-3.29600000e-05,4.87500000e-04
-3.28800000e-05,4.75000000e-04
