Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.00000000e-06
Record Length,1000
Zero Index,79.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-7.90000000e-05,4.15000000e-01
-7.80000000e-05,4.15156250e-01
-7.70000000e-05,4.14125000e-01
-7.60000000e-05,4.15312500e-01
-7.50000000e-05,4.15343750e-01
-7.40000000e-05,4.15593750e-01
-7.30000000e-05,4.15718750e-01
-7.20000000e-05,4.14468750e-01
-7.10000000e-05,4.14750000e-01
-7.00000000e-05,4.15125000e-01
-6.90000000e-05,4.14562500e-01
-6.80000000e-05,4.14687500e-01
-6.70000000e-05,4.14812500e-01
-6.60000000e-05,4.14843750e-01
-6.50000000e-05,4.14625000e-01
-6.40000000e-05,4.15250000e-01
-6.30000000e-05,4.14906250e-01
-6.20000000e-05,4.14625000e-01
-6.10000000e-05,4.15281250e-01
-6.00000000e-05,4.15062500e-01
-5.90000000e-05,4.14437500e-01
-5.80000000e-05,4.16468750e-01
-5.70000000e-05,4.15625000e-01
-5.60000000e-05,4.15781250e-01
-5.50000000e-05,4.15718750e-01
-5.40000000e-05,4.14500000e-01
-5.30000000e-05,4.15000000e-01
-5.20000000e-05,4.15500000e-01
-5.10000000e-05,4.14750000e-01
-5.00000000e-05,4.15343750e-01
-4.90000000e-05,4.15093750e-01
-4.80000000e-05,4.15312500e-01
-4.70000000e-05,4.15031250e-01
-4.60000000e-05,4.15875000e-01
-4.50000000e-05,4.15343750e-01
-4.40000000e-05,4.16125000e-01
-4.30000000e-05,4.15562500e-01
-4.20000000e-05,4.15437500e-01
-4.10000000e-05,4.14750000e-01
-4.00000000e-05,4.16187500e-01
-3.90000000e-05,4.15625000e-01
-3.80000000e-05,4.16281250e-01
-3.70000000e-05,4.15687500e-01
-3.60000000e-05,4.15031250e-01
-3.50000000e-05,4.14906250e-01
-3.40000000e-05,4.15625000e-01
-3.30000000e-05,4.15781250e-01
-3.20000000e-05,4.16218750e-01
-3.10000000e-05,4.15750000e-01
-3.00000000e-05,4.15812500e-01
-2.90000000e-05,4.15062500e-01
-2.80000000e-05,4.15750000e-01
-2.70000000e-05,4.16062500e-01
-2.60000000e-05,4.15531250e-01
-2.50000000e-05,4.15812500e-01
-2.40000000e-05,4.15687500e-01
-2.30000000e-05,4.15031250e-01
-2.20000000e-05,4.16125000e-01
-2.10000000e-05,4.15843750e-01
-2.00000000e-05,4.16218750e-01
-1.90000000e-05,4.16187500e-01
-1.80000000e-05,4.15218750e-01
-1.70000000e-05,4.15187500e-01
-1.60000000e-05,4.15781250e-01
-1.50000000e-05,4.15031250e-01
-1.40000000e-05,4.15156250e-01
-1.30000000e-05,4.15375000e-01
-1.20000000e-05,4.15968750e-01
-1.10000000e-05,4.15531250e-01
-1.00000000e-05,4.15968750e-01
-9.00000000e-06,4.14875000e-01
-8.00000000e-06,4.15750000e-01
-7.00000000e-06,4.15468750e-01
-6.00000000e-06,4.15593750e-01
-5.00000000e-06,4.14875000e-01
-4.00000000e-06,4.16750000e-01
-3.00000000e-06,4.16031250e-01
-2.00000000e-06,4.16156250e-01
-1.00000000e-06,4.15812500e-01
0.00000000e+00,4.14968750e-01
1.00000000e-06,1.85565625e+00
2.00000000e-06,inf
3.00000000e-06,1.90784375e+00
4.00000000e-06,1.74378125e+00
5.00000000e-06,1.51943750e+00
6.00000000e-06,1.38746875e+00
7.00000000e-06,1.30071875e+00
8.00000000e-06,1.23903125e+00
9.00000000e-06,1.19228125e+00
1.00000000e-05,1.15550000e+00
1.10000000e-05,1.12465625e+00
1.20000000e-05,1.09900000e+00
1.30000000e-05,1.07631250e+00
1.40000000e-05,1.05871875e+00
1.50000000e-05,1.04121875e+00
1.60000000e-05,1.02540625e+00
1.70000000e-05,1.01081250e+00
1.80000000e-05,9.96656250e-01
1.90000000e-05,9.84593750e-01
2.00000000e-05,9.74812500e-01
2.10000000e-05,9.64312500e-01
2.20000000e-05,9.54718750e-01
2.30000000e-05,9.45812500e-01
2.40000000e-05,9.37343750e-01
2.50000000e-05,9.28843750e-01
2.60000000e-05,9.22281250e-01
2.70000000e-05,9.14937500e-01
2.80000000e-05,9.08781250e-01
2.90000000e-05,9.02312500e-01
3.00000000e-05,8.96843750e-01
3.10000000e-05,8.90562500e-01
3.20000000e-05,8.86406250e-01
3.30000000e-05,8.81468750e-01
3.40000000e-05,8.76875000e-01
3.50000000e-05,8.72343750e-01
3.60000000e-05,8.66593750e-01
3.70000000e-05,8.62218750e-01
3.80000000e-05,8.58750000e-01
3.90000000e-05,8.54250000e-01
4.00000000e-05,8.50000000e-01
4.10000000e-05,8.46843750e-01
4.20000000e-05,8.42812500e-01
4.30000000e-05,8.39562500e-01
4.40000000e-05,8.36625000e-01
4.50000000e-05,8.33031250e-01
4.60000000e-05,8.29812500e-01
4.70000000e-05,8.27750000e-01
4.80000000e-05,8.24718750e-01
4.90000000e-05,8.21406250e-01
5.00000000e-05,8.20781250e-01
5.10000000e-05,8.17218750e-01
5.20000000e-05,8.14406250e-01
5.30000000e-05,8.11781250e-01
5.40000000e-05,8.08062500e-01
5.50000000e-05,8.06531250e-01
5.60000000e-05,8.04812500e-01
5.70000000e-05,8.01343750e-01
5.80000000e-05,7.99531250e-01
