Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.00000000e-06
Record Length,1000
Zero Index,79.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-7.90000000e-05,5.96843750e-01
-7.80000000e-05,5.97125000e-01
-7.70000000e-05,5.97218750e-01
-7.60000000e-05,5.97281250e-01
-7.50000000e-05,5.97875000e-01
-7.40000000e-05,5.98437500e-01
-7.30000000e-05,5.98500000e-01
-7.20000000e-05,5.97781250e-01
-7.10000000e-05,5.97968750e-01
-7.00000000e-05,5.97562500e-01
-6.90000000e-05,5.98187500e-01
-6.80000000e-05,5.98218750e-01
-6.70000000e-05,5.97218750e-01
-6.60000000e-05,5.97093750e-01
-6.50000000e-05,5.97843750e-01
-6.40000000e-05,5.97531250e-01
-6.30000000e-05,5.96500000e-01
-6.20000000e-05,5.97843750e-01
-6.10000000e-05,5.97437500e-01
-6.00000000e-05,5.97468750e-01
-5.90000000e-05,5.97625000e-01
-5.80000000e-05,5.98031250e-01
-5.70000000e-05,5.98750000e-01
-5.60000000e-05,5.99406250e-01
-5.50000000e-05,5.98531250e-01
-5.40000000e-05,5.97343750e-01
-5.30000000e-05,5.97718750e-01
-5.20000000e-05,5.98250000e-01
-5.10000000e-05,5.97812500e-01
-5.00000000e-05,5.97312500e-01
-4.90000000e-05,5.97312500e-01
-4.80000000e-05,5.97125000e-01
-4.70000000e-05,5.97843750e-01
-4.60000000e-05,5.97281250e-01
-4.50000000e-05,5.96500000e-01
-4.40000000e-05,5.98125000e-01
-4.30000000e-05,5.98000000e-01
-4.20000000e-05,5.98281250e-01
-4.10000000e-05,5.98437500e-01
-4.00000000e-05,5.98375000e-01
-3.90000000e-05,5.99375000e-01
-3.80000000e-05,5.99406250e-01
-3.70000000e-05,5.98781250e-01
-3.60000000e-05,5.98343750e-01
-3.50000000e-05,5.98218750e-01
-3.40000000e-05,5.97750000e-01
-3.30000000e-05,5.98031250e-01
-3.20000000e-05,5.97156250e-01
-3.10000000e-05,5.97843750e-01
-3.00000000e-05,5.97031250e-01
-2.90000000e-05,5.97656250e-01
-2.80000000e-05,5.97562500e-01
-2.70000000e-05,5.97000000e-01
-2.60000000e-05,5.99125000e-01
-2.50000000e-05,5.98031250e-01
-2.40000000e-05,5.98218750e-01
-2.30000000e-05,5.98656250e-01
-2.20000000e-05,5.98437500e-01
-2.10000000e-05,5.99687500e-01
-2.00000000e-05,5.99250000e-01
-1.90000000e-05,5.98812500e-01
-1.80000000e-05,5.97750000e-01
-1.70000000e-05,5.98125000e-01
-1.60000000e-05,5.98250000e-01
-1.50000000e-05,5.98281250e-01
-1.40000000e-05,5.97531250e-01
-1.30000000e-05,5.97812500e-01
-1.20000000e-05,5.96875000e-01
-1.10000000e-05,5.98281250e-01
-1.00000000e-05,5.98062500e-01
-9.00000000e-06,5.96812500e-01
-8.00000000e-06,5.98000000e-01
-7.00000000e-06,5.98843750e-01
-6.00000000e-06,5.98593750e-01
-5.00000000e-06,5.98718750e-01
-4.00000000e-06,5.98312500e-01
-3.00000000e-06,5.98312500e-01
-2.00000000e-06,5.99187500e-01
-1.00000000e-06,5.98968750e-01
0.00000000e+00,5.97875000e-01
1.00000000e-06,1.99993750e+00
2.00000000e-06,1.99993750e+00
3.00000000e-06,1.99990625e+00
4.00000000e-06,1.99993750e+00
5.00000000e-06,1.87740625e+00
6.00000000e-06,1.73971875e+00
7.00000000e-06,1.64931250e+00
8.00000000e-06,1.58262500e+00
9.00000000e-06,1.53087500e+00
1.00000000e-05,1.49146875e+00
1.10000000e-05,1.45718750e+00
1.20000000e-05,1.42759375e+00
1.30000000e-05,1.40200000e+00
1.40000000e-05,1.37956250e+00
1.50000000e-05,1.35934375e+00
1.60000000e-05,1.34118750e+00
1.70000000e-05,1.32346875e+00
1.80000000e-05,1.30737500e+00
1.90000000e-05,1.29390625e+00
2.00000000e-05,1.28118750e+00
2.10000000e-05,1.27012500e+00
2.20000000e-05,1.25862500e+00
2.30000000e-05,1.24846875e+00
2.40000000e-05,1.23837500e+00
2.50000000e-05,1.23000000e+00
2.60000000e-05,1.22078125e+00
2.70000000e-05,1.21203125e+00
2.80000000e-05,1.20596875e+00
2.90000000e-05,1.19850000e+00
3.00000000e-05,1.19137500e+00
3.10000000e-05,1.18509375e+00
3.20000000e-05,1.17825000e+00
3.30000000e-05,1.17309375e+00
3.40000000e-05,1.16700000e+00
3.50000000e-05,1.16125000e+00
3.60000000e-05,1.15540625e+00
3.70000000e-05,1.15025000e+00
3.80000000e-05,1.14525000e+00
3.90000000e-05,1.14096875e+00
4.00000000e-05,1.13650000e+00
4.10000000e-05,1.13218750e+00
4.20000000e-05,1.12706250e+00
4.30000000e-05,1.12400000e+00
4.40000000e-05,1.11993750e+00
4.50000000e-05,1.11540625e+00
4.60000000e-05,1.11262500e+00
4.70000000e-05,1.10934375e+00
4.80000000e-05,1.10506250e+00
4.90000000e-05,1.10156250e+00
5.00000000e-05,1.09840625e+00
5.10000000e-05,1.09593750e+00
5.20000000e-05,1.09312500e+00
5.30000000e-05,1.08925000e+00
5.40000000e-05,1.08559375e+00
5.50000000e-05,1.08306250e+00
5.60000000e-05,1.08059375e+00
5.70000000e-05,1.07800000e+00
