Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-07
Record Length,5000
Zero Index,699.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-4.28800000e-04,8.52265625e-02
-4.28000000e-04,8.48828125e-02
-4.27200000e-04,8.50859375e-02
-4.26400000e-04,8.52578125e-02
-4.25600000e-04,8.54218750e-02
-4.24800000e-04,8.48359375e-02
-4.24000000e-04,8.55234375e-02
-4.23200000e-04,8.57734375e-02
-4.22400000e-04,8.48203125e-02
-4.21600000e-04,8.58203125e-02
-4.20800000e-04,8.49531250e-02
-4.20000000e-04,8.54765625e-02
-4.19200000e-04,8.49921875e-02
-4.18400000e-04,8.61718750e-02
-4.17600000e-04,8.45703125e-02
-4.16800000e-04,8.52968750e-02
-4.16000000e-04,8.54218750e-02
-4.15200000e-04,8.43906250e-02
-4.14400000e-04,8.50234375e-02
-4.13600000e-04,8.46328125e-02
-4.12800000e-04,8.50000000e-02
-4.12000000e-04,8.46406250e-02
-4.11200000e-04,8.55937500e-02
-4.10400000e-04,8.46328125e-02
-4.09600000e-04,8.52031250e-02
-4.08800000e-04,8.56640625e-02
-4.08000000e-04,8.49765625e-02
-4.07200000e-04,8.58671875e-02
-4.06400000e-04,8.53828125e-02
-4.05600000e-04,8.55078125e-02
-4.04800000e-04,8.54921875e-02
-4.04000000e-04,8.58671875e-02
-4.03200000e-04,8.45937500e-02
-4.02400000e-04,8.56640625e-02
-4.01600000e-04,8.55312500e-02
-4.00800000e-04,8.44375000e-02
-4.00000000e-04,8.52578125e-02
-3.99200000e-04,8.44218750e-02
-3.98400000e-04,8.49531250e-02
-3.97600000e-04,8.46015625e-02
-3.96800000e-04,8.57734375e-02
-3.96000000e-04,8.44375000e-02
-3.95200000e-04,8.51015625e-02
-3.94400000e-04,8.57187500e-02
-3.93600000e-04,8.45234375e-02
-3.92800000e-04,8.55546875e-02
-3.92000000e-04,8.48281250e-02
-3.91200000e-04,8.55625000e-02
-3.90400000e-04,8.52421875e-02
-3.89600000e-04,8.60390625e-02
-3.88800000e-04,8.48125000e-02
-3.88000000e-04,8.54765625e-02
-3.87200000e-04,8.59140625e-02
-3.86400000e-04,8.49609375e-02
-3.85600000e-04,8.56406250e-02
-3.84800000e-04,8.50234375e-02
-3.84000000e-04,8.50390625e-02
-3.83200000e-04,8.50781250e-02
-3.82400000e-04,8.52812500e-02
-3.81600000e-04,8.44375000e-02
-3.80800000e-04,8.51796875e-02
-3.80000000e-04,8.53281250e-02
-3.79200000e-04,8.43203125e-02
-3.78400000e-04,8.55625000e-02
-3.77600000e-04,8.48203125e-02
-3.76800000e-04,8.52734375e-02
-3.76000000e-04,8.50078125e-02
-3.75200000e-04,8.62500000e-02
-3.74400000e-04,8.46796875e-02
-3.73600000e-04,8.52578125e-02
-3.72800000e-04,8.57265625e-02
-3.72000000e-04,8.47734375e-02
-3.71200000e-04,8.53203125e-02
-3.70400000e-04,8.48671875e-02
-3.69600000e-04,8.52343750e-02
-3.68800000e-04,8.48203125e-02
-3.68000000e-04,8.55312500e-02
-3.67200000e-04,8.44062500e-02
-3.66400000e-04,8.49375000e-02
-3.65600000e-04,8.52578125e-02
-3.64800000e-04,8.44687500e-02
-3.64000000e-04,8.52890625e-02
-3.63200000e-04,8.48828125e-02
-3.62400000e-04,8.50859375e-02
-3.61600000e-04,8.49140625e-02
-3.60800000e-04,8.54843750e-02
-3.60000000e-04,8.46015625e-02
-3.59200000e-04,8.55703125e-02
-3.58400000e-04,8.59453125e-02
-3.57600000e-04,8.48750000e-02
-3.56800000e-04,8.59296875e-02
-3.56000000e-04,8.49531250e-02
-3.55200000e-04,8.57500000e-02
-3.54400000e-04,8.50312500e-02
-3.53600000e-04,8.62421875e-02
-3.52800000e-04,8.45000000e-02
-3.52000000e-04,8.51015625e-02
-3.51200000e-04,8.54453125e-02
-3.50400000e-04,8.42343750e-02
-3.49600000e-04,8.50937500e-02
-3.48800000e-04,8.46171875e-02
-3.48000000e-04,8.47812500e-02
-3.47200000e-04,8.45312500e-02
-3.46400000e-04,8.56171875e-02
-3.45600000e-04,8.44921875e-02
-3.44800000e-04,8.50390625e-02
-3.44000000e-04,8.53750000e-02
-3.43200000e-04,8.48125000e-02
-3.42400000e-04,8.55781250e-02
-3.41600000e-04,8.51718750e-02
-3.40800000e-04,8.53984375e-02
-3.40000000e-04,8.51171875e-02
-3.39200000e-04,8.55781250e-02
-3.38400000e-04,8.46484375e-02
-3.37600000e-04,8.56093750e-02
-3.36800000e-04,8.55156250e-02
-3.36000000e-04,8.46562500e-02
-3.35200000e-04,8.54843750e-02
-3.34400000e-04,8.47343750e-02
-3.33600000e-04,8.51328125e-02
-3.32800000e-04,8.46484375e-02
-3.32000000e-04,8.57343750e-02
-3.31200000e-04,8.42031250e-02
-3.30400000e-04,8.50078125e-02
-3.29600000e-04,8.53906250e-02
-3.28800000e-04,8.43984375e-02
-3.28000000e-04,8.51093750e-02
-3.27200000e-04,8.48750000e-02
-3.26400000e-04,8.51796875e-02
-3.25600000e-04,8.49218750e-02
-3.24800000e-04,8.59296875e-02
-3.24000000e-04,8.45234375e-02
-3.23200000e-04,8.50703125e-02
-3.22400000e-04,8.55781250e-02
-3.21600000e-04,8.47343750e-02
-3.20800000e-04,8.56093750e-02
-3.20000000e-04,8.47343750e-02
-3.19200000e-04,8.52031250e-02
-3.18400000e-04,8.48125000e-02
-3.17600000e-04,8.51953125e-02
-3.16800000e-04,8.41093750e-02
-3.16000000e-04,8.50000000e-02
-3.15200000e-04,8.51640625e-02
-3.14400000e-04,8.40937500e-02
