Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.00000000e-06
Record Length,1000
Zero Index,79.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-7.90000000e-05,6.40312500e-01
-7.80000000e-05,6.40218750e-01
-7.70000000e-05,6.40625000e-01
-7.60000000e-05,6.40437500e-01
-7.50000000e-05,6.39437500e-01
-7.40000000e-05,6.39906250e-01
-7.30000000e-05,6.40312500e-01
-7.20000000e-05,6.39656250e-01
-7.10000000e-05,6.40218750e-01
-7.00000000e-05,6.40218750e-01
-6.90000000e-05,6.39750000e-01
-6.80000000e-05,6.41531250e-01
-6.70000000e-05,6.40687500e-01
-6.60000000e-05,6.39937500e-01
-6.50000000e-05,6.41125000e-01
-6.40000000e-05,6.40656250e-01
-6.30000000e-05,6.41062500e-01
-6.20000000e-05,6.41687500e-01
-6.10000000e-05,6.40750000e-01
-6.00000000e-05,6.41000000e-01
-5.90000000e-05,6.41250000e-01
-5.80000000e-05,6.40781250e-01
-5.70000000e-05,6.40687500e-01
-5.60000000e-05,6.41093750e-01
-5.50000000e-05,6.41375000e-01
-5.40000000e-05,6.41312500e-01
-5.30000000e-05,6.41750000e-01
-5.20000000e-05,6.42093750e-01
-5.10000000e-05,6.41375000e-01
-5.00000000e-05,6.42718750e-01
-4.90000000e-05,6.43031250e-01
-4.80000000e-05,6.42906250e-01
-4.70000000e-05,6.42875000e-01
-4.60000000e-05,6.41812500e-01
-4.50000000e-05,6.42343750e-01
-4.40000000e-05,6.44031250e-01
-4.30000000e-05,6.41937500e-01
-4.20000000e-05,6.43031250e-01
-4.10000000e-05,6.41375000e-01
-4.00000000e-05,6.40531250e-01
-3.90000000e-05,6.40000000e-01
-3.80000000e-05,6.42687500e-01
-3.70000000e-05,6.41625000e-01
-3.60000000e-05,6.41406250e-01
-3.50000000e-05,6.40187500e-01
-3.40000000e-05,6.39906250e-01
-3.30000000e-05,6.39625000e-01
-3.20000000e-05,6.41843750e-01
-3.10000000e-05,6.41406250e-01
-3.00000000e-05,6.40343750e-01
-2.90000000e-05,6.42281250e-01
-2.80000000e-05,6.40656250e-01
-2.70000000e-05,6.40375000e-01
-2.60000000e-05,6.41250000e-01
-2.50000000e-05,6.40250000e-01
-2.40000000e-05,6.40531250e-01
-2.30000000e-05,6.41437500e-01
-2.20000000e-05,6.41531250e-01
-2.10000000e-05,6.39468750e-01
-2.00000000e-05,6.40062500e-01
-1.90000000e-05,6.40437500e-01
-1.80000000e-05,6.40218750e-01
-1.70000000e-05,6.40500000e-01
-1.60000000e-05,6.40468750e-01
-1.50000000e-05,6.39718750e-01
-1.40000000e-05,6.41437500e-01
-1.30000000e-05,6.40593750e-01
-1.20000000e-05,6.39562500e-01
-1.10000000e-05,6.39968750e-01
-1.00000000e-05,6.40000000e-01
-9.00000000e-06,6.40218750e-01
-8.00000000e-06,6.40593750e-01
-7.00000000e-06,6.40062500e-01
-6.00000000e-06,6.39937500e-01
-5.00000000e-06,6.40281250e-01
-4.00000000e-06,6.40218750e-01
-3.00000000e-06,6.39750000e-01
-2.00000000e-06,6.40093750e-01
-1.00000000e-06,6.40562500e-01
0.00000000e+00,6.39781250e-01
1.00000000e-06,1.98656250e+00
2.00000000e-06,1.99993750e+00
3.00000000e-06,1.99993750e+00
4.00000000e-06,inf
5.00000000e-06,inf
6.00000000e-06,1.96737500e+00
7.00000000e-06,1.87784375e+00
8.00000000e-06,1.80590625e+00
9.00000000e-06,1.75009375e+00
1.00000000e-05,1.70475000e+00
1.10000000e-05,1.66418750e+00
1.20000000e-05,1.63181250e+00
1.30000000e-05,1.60146875e+00
1.40000000e-05,1.57393750e+00
1.50000000e-05,1.55031250e+00
1.60000000e-05,1.52921875e+00
1.70000000e-05,1.50978125e+00
1.80000000e-05,1.49225000e+00
1.90000000e-05,1.47653125e+00
2.00000000e-05,1.46106250e+00
2.10000000e-05,1.44709375e+00
2.20000000e-05,1.43546875e+00
2.30000000e-05,1.42287500e+00
2.40000000e-05,1.41031250e+00
2.50000000e-05,1.40021875e+00
2.60000000e-05,1.38937500e+00
2.70000000e-05,1.38037500e+00
2.80000000e-05,1.37196875e+00
2.90000000e-05,1.36290625e+00
3.00000000e-05,1.35428125e+00
3.10000000e-05,1.34753125e+00
3.20000000e-05,1.33968750e+00
3.30000000e-05,1.33190625e+00
3.40000000e-05,1.32581250e+00
3.50000000e-05,1.31978125e+00
3.60000000e-05,1.31346875e+00
3.70000000e-05,1.30753125e+00
3.80000000e-05,1.30228125e+00
3.90000000e-05,1.29650000e+00
4.00000000e-05,1.29275000e+00
4.10000000e-05,1.28690625e+00
4.20000000e-05,1.28146875e+00
4.30000000e-05,1.27840625e+00
4.40000000e-05,1.27325000e+00
4.50000000e-05,1.26846875e+00
4.60000000e-05,1.26518750e+00
4.70000000e-05,1.26003125e+00
4.80000000e-05,1.25590625e+00
4.90000000e-05,1.25225000e+00
5.00000000e-05,1.24765625e+00
5.10000000e-05,1.24337500e+00
5.20000000e-05,1.24021875e+00
5.30000000e-05,1.23662500e+00
5.40000000e-05,1.23290625e+00
5.50000000e-05,1.23009375e+00
5.60000000e-05,1.22775000e+00
5.70000000e-05,1.22421875e+00
5.80000000e-05,1.22215625e+00
